X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-92.147018,48.21704,623.00903,,,,CAMP-1911,CAMP-1911,CAMP- Emerald Lake - 1911 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1911&elat=48.21704&elon=-92.147018,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.302122,48.13585,623.00903,,,,CAMP-1912,CAMP-1912,CAMP- Lake Jeanette - 1912 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1912&elat=48.13585&elon=-92.302122,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.297776,48.13819,623.00903,,,,CAMP-1913,CAMP-1913,CAMP- Lake Jeanette - 1913 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1913&elat=48.13819&elon=-92.297776,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.290479,48.14189,623.00903,,,,CAMP-1914,CAMP-1914,CAMP- Lake Jeanette - 1914 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1914&elat=48.14189&elon=-92.290479,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.274299,48.14249,623.00903,,,,CAMP-1915,CAMP-1915,CAMP- Lake Jeanette - 1915 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1915&elat=48.14249&elon=-92.274299,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.25972,48.19527,623.00903,,,,CAMP-1916,CAMP-1916,CAMP- Upper Pauness Lake - 1916 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1916&elat=48.19527&elon=-92.25972,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.256565,48.23195,623.00903,,,,CAMP-1917,CAMP-1917,CAMP- Loon Lake - 1917 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1917&elat=48.23195&elon=-92.256565,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.282223,48.24125,623.00903,,,,CAMP-1918,CAMP-1918,CAMP- Loon Lake - 1918 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=1918&elat=48.24125&elon=-92.282223,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.271539,48.23484,623.00903,,,,CAMP-1919,CAMP-1919,CAMP- Loon Lake - 1919 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1919&elat=48.23484&elon=-92.271539,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.266459,48.23783,623.00903,,,,CAMP-1920,CAMP-1920,CAMP- Loon Lake - 1920 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=1920&elat=48.23783&elon=-92.266459,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
